ema_100_t1,ema_100_t2,ema_200_t1,ema_200_t2,ema_20_t1,ema_20_t2,ema_50_t1,ema_50_t2,fractal_type_t2,manipulation_time_frame_t2,manipulation_type_t2,plan_rr,position,qm_time_frame_t1,qm_type_t1,rsi_sma_t1,rsi_sma_t2
81,89,83,91,77,85,79,87,117,107,121,141,257,97,135,93,95
82,90,84,92,78,86,80,88,118,108,122,142,258,98,136,94,96
,,,,,,,,119,109,123,143,,99,137,,
,,,,,,,,120,110,,144,,100,138,,
,,,,,,,,,111,,145,,101,151,,
,,,,,,,,,112,,146,,102,,,
,,,,,,,,,113,,147,,103,,,
,,,,,,,,,114,,148,,104,,,
,,,,,,,,,115,,149,,105,,,
,,,,,,,,,116,,150,,106,,,
,,,,,,,,,159,,259,,156,,,